public_number,book_number,black,white,date,result,move_count,status,sgf_file,archive_url,gif_url
38,,Maeda Nobuaki,Go Seigen,,W+4,268,identified_by_30_move_prefix,sgf/038-1950-06-13.sgf,https://homepages.cwi.nl/~aeb/go/games/games/Go_Seigen/1950-06-13.sgf,https://qjql.net/newgo/dongtu/%E5%90%8D%E4%BA%BA%E6%A3%8B%E8%B0%B1/%E5%90%B4%E6%B8%85%E6%BA%90%E8%87%AA%E6%88%98%E7%99%BE%E5%B1%80038.gif
39,,Sakata Eio,Go Seigen,,W+R,234,identified_by_30_move_prefix,sgf/039-1950-07-04.sgf,https://homepages.cwi.nl/~aeb/go/games/games/Go_Seigen/1950-07-04.sgf,https://qjql.net/newgo/dongtu/%E5%90%8D%E4%BA%BA%E6%A3%8B%E8%B0%B1/%E5%90%B4%E6%B8%85%E6%BA%90%E8%87%AA%E6%88%98%E7%99%BE%E5%B1%80039.gif
40,,Mitsuhara Itaro,Go Seigen,1950-06,W+R,182,identified_by_30_move_prefix,sgf/040-1950-09-13.sgf,https://homepages.cwi.nl/~aeb/go/games/games/Go_Seigen/1950-09-13.sgf,https://qjql.net/newgo/dongtu/%E5%90%8D%E4%BA%BA%E6%A3%8B%E8%B0%B1/%E5%90%B4%E6%B8%85%E6%BA%90%E8%87%AA%E6%88%98%E7%99%BE%E5%B1%80040.gif
41,,Sakata Eio,Go Seigen,"1954-04-27,28",W+R,256,identified_by_30_move_prefix,sgf/041-1954-04-27.sgf,https://homepages.cwi.nl/~aeb/go/games/games/Go_Seigen/1954-04-27.sgf,https://qjql.net/newgo/dongtu/%E5%90%8D%E4%BA%BA%E6%A3%8B%E8%B0%B1/%E5%90%B4%E6%B8%85%E6%BA%90%E8%87%AA%E6%88%98%E7%99%BE%E5%B1%80041.gif
42,,Hasegawa Akira,Go Seigen,"1951-01-15,16",W+R,208,identified_by_30_move_prefix,sgf/042-1951-01-15.sgf,https://homepages.cwi.nl/~aeb/go/games/games/Go_Seigen/1951-01-15.sgf,https://qjql.net/newgo/dongtu/%E5%90%8D%E4%BA%BA%E6%A3%8B%E8%B0%B1/%E5%90%B4%E6%B8%85%E6%BA%90%E8%87%AA%E6%88%98%E7%99%BE%E5%B1%80042.gif
43,,Shinohara Masami,Go Seigen,"1951-07-09,10",W+2,273,identified_by_30_move_prefix,sgf/043-1951-07-09.sgf,https://homepages.cwi.nl/~aeb/go/games/games/Go_Seigen/1951-07-09.sgf,https://qjql.net/newgo/dongtu/%E5%90%8D%E4%BA%BA%E6%A3%8B%E8%B0%B1/%E5%90%B4%E6%B8%85%E6%BA%90%E8%87%AA%E6%88%98%E7%99%BE%E5%B1%80043.gif
44,,Shimamura Toshihiro,Go Seigen,,W+3,245,identified_by_30_move_prefix,sgf/044-1951-09-01.sgf,https://homepages.cwi.nl/~aeb/go/games/games/Go_Seigen/1951-09-01.sgf,https://qjql.net/newgo/dongtu/%E5%90%8D%E4%BA%BA%E6%A3%8B%E8%B0%B1/%E5%90%B4%E6%B8%85%E6%BA%90%E8%87%AA%E6%88%98%E7%99%BE%E5%B1%80044.gif
45,,Segoe Kensaku,Go Seigen,,W+R,242,identified_by_30_move_prefix,sgf/045-1951-09-21.sgf,https://homepages.cwi.nl/~aeb/go/games/games/Go_Seigen/1951-09-21.sgf,https://qjql.net/newgo/dongtu/%E5%90%8D%E4%BA%BA%E6%A3%8B%E8%B0%B1/%E5%90%B4%E6%B8%85%E6%BA%90%E8%87%AA%E6%88%98%E7%99%BE%E5%B1%80045.gif
50,,Hashimoto Utaro,Go Seigen,"1950-10-10,11",Jigo,252,identified_by_30_move_prefix,sgf/050-1950-10-10.sgf,https://homepages.cwi.nl/~aeb/go/games/games/Go_Seigen/1950-10-10.sgf,https://qjql.net/newgo/dongtu/%E5%90%8D%E4%BA%BA%E6%A3%8B%E8%B0%B1/%E5%90%B4%E6%B8%85%E6%BA%90%E8%87%AA%E6%88%98%E7%99%BE%E5%B1%80050.gif
51,,Go Seigen,Hashimoto Utaro,,B+R,183,identified_by_30_move_prefix,sgf/051-1950-11-15.sgf,https://homepages.cwi.nl/~aeb/go/games/games/Go_Seigen/1950-11-15.sgf,https://qjql.net/newgo/dongtu/%E5%90%8D%E4%BA%BA%E6%A3%8B%E8%B0%B1/%E5%90%B4%E6%B8%85%E6%BA%90%E8%87%AA%E6%88%98%E7%99%BE%E5%B1%80051.gif
